,foundation_name,link,Brand,price,colors,rank
68,Deluxe Original Foundation Moonlit Magic Edition,https://www.sephora.com/product/moonlit-magic-deluxe-original-foundation-P435137?icid2=products,bareMinerals,$45.00,3 more colors,width:92.728%
69,The Sensual Skin Enhancer Concealer,https://www.sephora.com/product/the-sensual-skin-enhancer-P393953?icid2=products,KEVYN AUCOIN,$48.00,15 more colors,width:80.874%
70,Un Cover-Up Concealer/Foundation,https://www.sephora.com/product/un-cover-up-concealer-foundation-P408972?icid2=products,rms beauty,$36.00,15 more colors,width:84.666%
71,Skin Foundation Stick,https://www.sephora.com/product/foundation-stick-P270549?icid2=products,Bobbi Brown,$46.00,29 more colors,width:83.75999999999999%
72,Dior Forever Skin Glow 24h* Wear Radiant Perfection Skin-Caring Foundation,https://www.sephora.com/product/forever-glow-foundation-P439941?icid2=products,Dior,$52.00,23 more colors,width:84.444%
73,’Hello Flawless!’ Powder Foundation,https://www.sephora.com/product/hello-flawless-powder-foundation-P231510?icid2=products,Benefit Cosmetics,$34.00,8 more colors,width:86.564%
74,Photo’Perfexion Fluid Foundation SPF 20,https://www.sephora.com/product/photo-perfexion-fluid-foundation-spf-20-pa-P235346?icid2=products,Givenchy,$51.00,10 more colors,width:88.398%
75,Ultimate Coverage 24-Hour Foundation,https://www.sephora.com/product/ultimate-coverage-complexion-creme-P384640?icid2=products,BECCA,$44.00,23 more colors,width:78.96600000000001%
76,Camera Ready BB Cream SPF 35,https://www.sephora.com/product/camera-ready-bb-cream-spf-35-P300339?skuId=1574896&icid2=products,Smashbox,$42.00,7 more colors,width:80.272%
77,Skin Long-Wear Weightless Foundation SPF 15,https://www.sephora.com/product/skin-long-wear-weightless-foundation-spf-15-P427430?icid2=products,Bobbi Brown,$46.00,29 more colors,width:78.25%
78,BB Cushion Hydra Radiance SPF 50,https://www.sephora.com/product/bb-cushion-hydra-radiance-P420676?icid2=products,LANEIGE,$38.00,5 more colors,width:86.08%
79,Bright Future Skin Tint Broad Spectrum SPF 25,https://www.sephora.com/product/bright-future-skin-tint-broad-spectrum-spf-25-P427368?icid2=products,SEPHORA COLLECTION, $9.00,6 more colors,width:79.798%
80,Lingerie De Peau Natural Perfection Foundation SPF 20,https://www.sephora.com/product/lingerie-de-peau-liquid-foundation-spf-20-P276800?icid2=products,Guerlain,$63.00,13 more colors,width:90.03999999999999%
81,Mineral Powder,https://www.sephora.com/product/mineral-powder-spf-15-P181802?icid2=products,Laura Mercier,$42.00,5 more colors,width:89.052%
82,Acne Solutions BB Cream Broad Spectrum SPF 40,https://www.sephora.com/product/acne-solutions-bb-cream-broad-spectrum-spf-40-P394252?icid2=products,CLINIQUE,$39.00,4 more colors,width:82.964%
83,Color Control Cushion Compact Broad Spectrum SPF 50+,https://www.sephora.com/product/color-control-cushion-compact-broad-spectrum-spf-50-P378121?icid2=products,AMOREPACIFIC,$15.00 - $60.00,6 more colors,width:80.77400000000002%
84,Traceless Foundation Stick,https://www.sephora.com/product/traceless-foundation-stick-P422453?icid2=products,TOM FORD,$87.00,28 more colors,width:88.966%
85,Magic Foundation,https://www.sephora.com/product/magic-foundation-P433518?icid2=products,Charlotte Tilbury,$44.00,19 more colors,width:70.91000000000001%
86,Silk Crème Oil Free Photo Edition Foundation,https://www.sephora.com/product/silk-creme-oil-free-photo-edition-foundation-P136022?icid2=products,Laura Mercier,$48.00,15 more colors,width:82.48%
87,Blur Liquid Matte Foundation,https://www.sephora.com/product/blur-liquid-matte-foundation-P421938?icid2=products,MILK MAKEUP,$40.00,23 more colors,width:77.77000000000001%
88,Light Wonder Foundation,https://www.sephora.com/product/light-wonder-foundation-P434103?icid2=products,Charlotte Tilbury,$46.00,9 more colors,width:83.21400000000001%
89,Natural Finish Foundation,https://www.sephora.com/product/natural-finish-oil-free-foundation-P377714?icid2=products,COVER FX,$42.00,39 more colors,width:72.112%
90,The Soft Fluid Long Wear Foundation SPF 20,https://www.sephora.com/product/the-soft-fluid-long-wear-foundation-spf-20-P423742?icid2=products,La Mer,$120.00,19 more colors,width:81.68200000000002%
91,Silk Crème Moisturizing Photo Edition Foundation,https://www.sephora.com/product/silk-creme-moisturizing-photo-edition-foundation-P394937?icid2=products,Laura Mercier,$48.00,15 more colors,width:77.94200000000001%
92,Customizable Teint Idole Ultra Longwear Foundation Set,https://www.sephora.com/product/customizable-teint-idole-ultra-longwear-foundation-set-P439407?icid2=products,Lancôme,$47.00,,width:80%
